# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.77762773192494916	-0.21829115994370557	-0.40452649651302192
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
incremental-md-incl-az-candidate	4	1	False	0.00025537945913089999	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.586165476464792	50.586165476464792	0.033681845435114745	2.1365121396418409	6535283.5070805326	328657.50522365136	50.570049417027569	50.570049417027569	6535283.5070805326	328657.50522365136	0.00077715663560497521	0.00077551440979817254	-0.0014994859588668419	1.793476738602179
raw-covariance-spherical-candidate	4	2	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.4365141466	328656.69572853978	50.567274097180807	50.567274097180807	6535283.4365141466	328656.69572853978				
incremental-md-incl-az-candidate	4	2	False	0.00012788315624912006	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.579210394194071	50.579210394194071	0.021260296029237506	3.330346327429818	6535283.4365141466	328656.69572853978	50.567274097180807	50.567274097180807	6535283.4365141466	328656.69572853978	0.0004310105560356573	0.00041604865236334609	-0.0052955822912092998	1.6365002137929689
raw-covariance-spherical-candidate	4	3	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.6533351783	328656.73500037187	50.977884463827856	50.977884463827856	6535283.6533351783	328656.73500037187				
incremental-md-incl-az-candidate	4	3	False	5.0809982596100589E-05	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.987302938808682	50.987302938808682	0.012329320946468162	3.3334579262071249	6535283.6533351783	328656.73500037187	50.977884463827856	50.977884463827856	6535283.6533351783	328656.73500037187	0.00026008669062421399	0.00023491337059269868	-0.009054088182702813	1.4283642419709324
raw-covariance-spherical-candidate	4	4	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.2912847064	328657.46445335244	50.57043905761828	50.57043905761828	6535283.2912847064	328657.46445335244				
incremental-md-incl-az-candidate	4	4	False	0.00033201934229176722	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.589058244427342	50.589058244427342	0.037828457479402861	2.3542378233835883	6535283.2912847064	328657.46445335244	50.57043905761828	50.57043905761828	6535283.2912847064	328657.46445335244	0.00084819862083187591	0.00084521001530862838	-0.0018810491074550129	1.9155310137989487
raw-covariance-spherical-candidate	4	5	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.5081057381	328657.50372518454	50.981049424265329	50.981049424265329	6535283.5081057381	328657.50372518454				
incremental-md-incl-az-candidate	4	5	False	0.00024873190768559539	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.997074098473959	50.997074098473959	0.033376018782671747	2.135821736423666	6535283.5081057381	328657.50372518454	50.981049424265329	50.981049424265329	6535283.5081057381	328657.50372518454	0.00076478289613089625	0.00076314575899807946	-0.0014987878724781467	1.7916637308254573
raw-covariance-spherical-candidate	4	6	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.4375393521	328656.69423007296	50.978274104418567	50.978274104418567	6535283.4375393521	328656.69423007296				
incremental-md-incl-az-candidate	4	6	False	0.00012537878657414847	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.990171096332922	50.990171096332922	0.021053931412065428	3.3313078712276596	6535283.4375393521	328656.69423007296	50.978274104418567	50.978274104418567	6535283.4375393521	328656.69423007296	0.00042343045669246279	0.00040844579826393446	-0.0053033668468760453	1.6362167488609578
raw-covariance-spherical-candidate	4	7	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.2923099119	328657.46295488562	50.98143906485604	50.98143906485604	6535283.2923099119	328657.46295488562				
incremental-md-incl-az-candidate	4	7	False	0.00032326014861283614	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.999941910942397	50.999941910942397	0.037484548248192098	2.3538157699637243	6535283.2923099119	328657.46295488562	50.98143906485604	50.98143906485604	6535283.2923099119	328657.46295488562	0.00083449786047399231	0.00083151263255698549	-0.001881815497561945	1.9137909706911329
incremental-md-incl-az-candidate-selected	4	3	True	5.0809982596100589E-05	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.987302938808682	50.987302938808682	0.012329320946468162	3.3334579262071249	6535283.6533351783	328656.73500037187	50.977884463827856	50.977884463827856	6535283.6533351783	328656.73500037187	0.00026008669062421399	0.00023491337059269868	-0.009054088182702813	1.4283642419709324
